"method","n_obs","l2_mean","l2_sd"
"cascading",6,0.436348051373633,0.261239150972086
"tracking",6,0.0951133972579756,0.00776293012240386
"cascading",21,0.129861183176533,0.0675546912945607
"tracking",21,0.0810809675128976,0.0074051419029536
"cascading",51,0.0418263335994726,0.0338848798384147
"tracking",51,0.0553049291924265,0.000660013697589054
